|data
0|https://www.goodreads.com/track/daily_click?pmet_click_tid=AEP_Header_BrowseMenu_TrafficDriver_Click&tid=AEP_Desktop_Header_BrowseEntrypoint&url=https://www.goodreads.com/audible
1|https://www.goodreads.com/author/show/16218.Christopher_Moore
2|https://www.goodreads.com/
3|https://www.facebook.com/Goodreads/
4|https://twitter.com/goodreads
5|https://www.instagram.com/goodreads/
6|https://www.linkedin.com/company/goodreads-com/
7|https://itunes.apple.com/app/apple-store/id355833469?pt=325668&ct=mw_footer&mt=8
8|https://play.google.com/store/apps/details?id=com.goodreads&utm_source=mw_footer&pcampaignid=MKT-Other-global-all-co-prtnr-py-PartBadge-Mar2515-1
9|https://www.goodreads.com/author/show/83082.Gideon_Defoe
10|https://www.goodreads.com/work/editions/41335427-harry-potter-and-the-half-blood-prince
11|https://www.goodreads.com/author/show/1077326.J_K_Rowling
12|https://www.goodreads.com/author/show/2927.Mary_GrandPr_
13|http://harrypotter.scholastic.com
14|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F1.Harry_Potter_and_the_Half_Blood_Prince
15|https://www.instagram.com/fantasticbooksandwheretofindem/
16|https://emmareadstoomuch.wordpress.com/2017/02/25/harry-potter-and-the-half-blood-prince-review/
17|https://thebookprescription.wordpress.com/2018/08/27/harry-potter-the-half-blood-prince-review/
18|https://www.goodreads.com/author/show/1077326.J_K__Rowling
19|https://www.goodreads.com/user/show/45203704-trixi
20|https://www.goodreads.com/user/show/5014021-katerina
21|http://goo.gl/0y2Lw3
22|http://s1279.photobucket.com/user/Christyb23/media/Book%20Reviews%209/stencil.facebook-post_zpsvss39bzb.jpg.html
23|https://sprinklesofdreams.wordpress.com
24|https://www.bloglovin.com/blogs/sprinkles-dreams-19449885
25|http://sprinklesofdreams.tumblr.com
26|https://www.instagram.com/sprinklesofdreamsx/
27|https://www.depop.com/bookspoils/bookspoils-harry-potter-and-the-half-blood
28|http://bookspoils.com/2018/09/20/review-to-all-the-boys-ive-loved-before/
29|http://bookspoils.com/2018/02/28/parks-and-recreation-book-tag/
30|http://bookspoils.com/2018/03/18/review-fangirl-by-rainbow-rowell-2/
31|http://bookspoils.com/2016/04/08/review-carry-on-by-rainbow-rowell/
32|https://www.amazon.com/gp/product/B00SLS5K6M/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00SLS5K6M&linkCode=as2&tag=natalie013-20&linkId=bab2025c2064fcadf928fb2c2ba120b3
33|http://www.bookdepository.com?a_aid=bookspoils&a_bid=21478c1a
34|http://Ko-fi.com/bookspoils
35|https://ko-fi.com/bookspoils
36|https://twitter.com/bookspoils
37|http://bookspoils.tumblr.com
38|https://www.instagram.com/bookspoils/
39|https://bookspoils.wordpress.com
40|https://www.goodreads.com/topic/show/19432962-harry-potter-and-the-half-blood-prince
41|https://www.goodreads.com/topic/show/19688946-the-half-blood-prince-2019-discussion
