|data
0|Thanks for telling us about the problem.The bedtime reading for my daughter became less lighthearted and more serious by now. Luckily, for some difficult questions Dumbledore bails me out every time:Vote: 9Oramai la lettura serale per mia figlia si è fatta decisamente meno spensierata e più impegnata. Per fortuna, per alcune questioni spinose c'è sempre Silente a togliermi le castagne dal fuoco:Voto: 9
1|Thanks for telling us about the problem.
2|Thanks for telling us about the problem. Be the first to ask a question about It's All About the Bike 
3|Thanks for telling us about the problem. Be the first to ask a question about Happiness Reviewers agree that Layard, a leading British economist and well-known government advisor, raises fundamentally important questions that we all tend to ignore in our strivings to achieve on a daily basis. The author supplies ample data to show that capitalism's emphasis on individualism and competition has helped to diminish the feeling of a common good among people of different classes and societies. The critics disagree, however, on Layard's recommendation of state- and church-oriented interv
4|Thanks for telling us about the problem.A groundbreaking new scientific study of the phenomenon of luck and the ways we can bring good luck into our lives. What is luck? A psychic gift or a question of intelligence? And what is it that lucky people have that unlucky people lack? Psychologist Dr. Richard Wiseman put luck under a scientific microscope for the very first timDr. Richard Wiseman heads a research unit within the psychology department at the University of Herfordshire in Britain and was recently given the prestigious CSICOP Public Education in Science Award. This is his first book.
5|Thanks for telling us about the problem.
6|Thanks for telling us about the problem. Be the first to ask a question about From the Grounds Up 
7|Thanks for telling us about the problem.If you know me and my reviews , you would know that I am not a fan of sequels,especially second books of the series but this one was entirely awesome.I have been caught up with series for weeks now and I can't think of anything else.The way it is written is so beautiful and I do dig the appearance and the style of talking of the time this book,actually the whole series is set in.Maybe as a fan of books,as a reader I do enjoy books in which dialogues are filled with quotes of classics.Quoting the brilliant authors is one of the smartest way of creating conversations and I must give the credit for this to the author.She handled this perfectly,staying in reality and not turning it into something artificial as some popular books out there had done it.The way author describes the situation is terrific,the way the characters show their emotions,their affections,eagerness,sympathy fits greatly with their culture at the certain time.Also you can sense skepticism on their thoughts,actions affected by feelings,inexperience,and age.You get to read here about great heroic characters,fearless and strong,but it's something about them and the things they repeatedly do that makes them real and believable.It makes them people.I must say I enjoyed this one more than the first one.Not that it was better than the first one in the plot or the writing,or anything in general but if you may know me,you would know my public dislikeness for vampires as creatures,and this one fortunately doesn't contain blood drinkers.So I am pleased.Even that there is not a lot of action or much happening in this book,it never got boring.The plot was beautifully organised and the situations were always thrilling filled with excitement.There are some secrets revealed,but still the plot is quite complicated stored with enigmatic words and ideas and persons in shades.I was quite impressed with the Will's curse,and the revelation of it.And it surely change my opinion for this character.I can't part this book.As the first book,this one was also a perfection in every way.I can't say I didn't enjoy some parts more than others but the difference is minor so I will not mention them because I don't want to spoil.This book follows the story of the first one.After the death of the vampire and the unknown location of the Magister ,the shadowhunters are caught up in a lot of problems.Charlotte is doing everything to save the Institute,to stay at the head of it,Tessa is still clearing things in her head,trying to find more about herself and who she is,her origin,her parents.Her heart starts growing more feeling for Jem,because of this kindness and everything but in the other hand she can't stop feeling affection for Will and his dark,dark past.Well I still have the same opinion for her.All the best.And I don't know why but I never have imagined someone more beautiful than her in my mind.And she has a sense of humor.Like that's something easy to find,beautiful and funny.Well as I said my opinion for Will has changed.Not that I have disliked this characters before but after knowing him better,I do feel pity for him.I still don't know why he hasn't tried to find the demon before,I mean for five years he could have find it and know better and he would not be late,and who has read this book knows what I mean.I also have the same opinion about this characters as before.But I do have a feeling that he knows what Tessa truly feels.I guess I have to find out in the third one.I am mention this character because I can't really understand him..He has done a lot of generous things for others,but I can't really know what he likes or desires.It confused me a lot and maybe it's just me, but I think he has some problems and I find him very creepy.
8|Thanks for telling us about the problem.
9|Thanks for telling us about the problem.
